AL, 06, 2019082218, 03, AP15,  78, 267N,  836W,   8, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  84, 274N,  839W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  90, 283N,  840W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  96, 289N,  829W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15, 102, 289N,  841W,  11, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP16,   0, 239N,  774W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP17,   0, 243N,  782W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,   0, 241N,  778W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,   6, 242N,  783W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  12, 244N,  791W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  18, 243N,  800W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  24, 244N,  805W,  11, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  30, 254N,  810W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  36, 252N,  815W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  42, 255N,  821W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  48, 261N,  823W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  54, 262N,  824W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  60, 261N,  830W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  66, 273N,  833W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  72, 281N,  826W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  78, 282N,  823W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP18,  84, 289N,  823W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP19,   0, 242N,  780W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP20,   0, 239N,  779W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AVNO,   0, 243N,  776W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  66,   0,   0, 
